,Note Name,Note Image,Category,
90,Jabuticaba,https://fimgs.net/mdimg/sastojci/m.615.jpg?1440898344,"FRUITS, VEGETABLES AND NUTS",
91,Jackfruit,https://fimgs.net/mdimg/sastojci/m.462.jpg?1440898729,"FRUITS, VEGETABLES AND NUTS",
92,Japanese Loquat,https://fimgs.net/mdimg/sastojci/m.550.jpg?1440899844,"FRUITS, VEGETABLES AND NUTS",
93,Jobs tears (Yi Yi Ren),https://fimgs.net/mdimg/sastojci/m.916.jpg?1598727693,"FRUITS, VEGETABLES AND NUTS",
94,Kiwi,https://fimgs.net/mdimg/sastojci/m.178.jpg?1440900911,"FRUITS, VEGETABLES AND NUTS",
95,Kumbaru,https://fimgs.net/mdimg/sastojci/m.616.jpg?1440902182,"FRUITS, VEGETABLES AND NUTS",
96,Lingonberry,https://fimgs.net/mdimg/sastojci/m.1029.jpg?1576104726,"FRUITS, VEGETABLES AND NUTS",
97,Litchi,https://fimgs.net/mdimg/sastojci/m.194.jpg?1440902640,"FRUITS, VEGETABLES AND NUTS",
98,Longan Berries,https://fimgs.net/mdimg/sastojci/m.1030.jpg?1576180656,"FRUITS, VEGETABLES AND NUTS",
99,Macadamia,https://fimgs.net/mdimg/sastojci/m.666.jpg?1598587654,"FRUITS, VEGETABLES AND NUTS",
100,Mahonia,https://fimgs.net/mdimg/sastojci/m.909.jpg?1539589978,"FRUITS, VEGETABLES AND NUTS",
101,Malt,https://fimgs.net/mdimg/sastojci/m.480.jpg?1440952106,"FRUITS, VEGETABLES AND NUTS",
102,Mango,https://fimgs.net/mdimg/sastojci/m.179.jpg?1440904086,"FRUITS, VEGETABLES AND NUTS",
103,Mangosteen,https://fimgs.net/mdimg/sastojci/m.303.jpg?1440904354,"FRUITS, VEGETABLES AND NUTS",
104,Maninka,https://fimgs.net/mdimg/sastojci/m.693.jpg?1435831924,"FRUITS, VEGETABLES AND NUTS",
